Chunk,Result
Section,0
Head,0
Proactively,0
agility,0
efficiency,0
Quality,0
review information,0
assets,0
technical view,0
Actively,0
share,0
practices,0
Department,0
Support,0
teams,0
o,0
Advanced,0
Analysts,1
hypothesis testing,1
–,0
Account,0
Officers,0
development,0
task,0
plan,0
connection,0
business unit,0
Key,0
Qualifications,0
Minimum,0
years,0
analytical context ·,1
Consulting,0
experience,0
Bachelor,0
’,0
computer science,0
computer engineering,0
quantitative field,0
Master,0
above fields,0
Skills,0
Competencies,0
Good,0
business understanding,0
background,0
selection,0
development skills,1
English,0
Arabic,0
language,0
advantage,0
health insurance,0
concepts,0
statistical programming,1
Excellent,0
Microsoft,0
skills,0
VBA being,1
Analytical,1
Framework,0
requirements,0
great experience,0
great projects,0
imagine,0
you,0
a product,0
that,0
the business,0
one,0
the world ’,0
largest companies,0
Our client,0
an innovative global company,0
the Fortune 500,0
Consumer Goods Producer and Retailer,0
headquarters,0
Switzerland,0
its products,0
130 countries,0
Intellias mission,0
its strategy and efforts,0
the Digital,0
eCommerce space,0
A newly,0
Digital Eco System,0
set,0
capabilities,0
online shop & website,0
online & offline,0
customization & personalization,0
engagement & membership,0
digital product & services,0
Consumer Data Platform Team,0
We,0
digital native business cases,0
marketers and data scientists,1
the best,0
consumer data,1
them,0
and,0
targeted messages,0
consumers,0
the world,0
Our goal,0
rich data,0
a clear 360 degree view,0
every consumer,0
our business teams,0
the best possible service,0
Continuous improvement and engineering excellence,0
the core,0
everything,0
we,0
our business objectives,0
Responsibilities,0
Our data engineering team,1
building and,0
operating data pipelines,1
the ingest,0
data,1
our global markets,0
The data engineers,1
our data scientists,1
machine learning models,1
business insights,1
our global data pool,1
Requirements,0
2 years,0
experience building data Pipelines,1
Python,1
3 years,0
experience,0
SQL,1
database design,1
big data query,1
query optimization,1
Professional experience,0
data quality pipelines,1
REST APIs,1
API Management solutions,1
Proficient understanding,0
code versioning,1
tools,0
Git,1
Mercurial or,0
SVN,1
Ability,0
24/7 On-Call support,0
one week,0
month,0
Nice,0
building data pipelines,1
Treasure Data,0
the DigDag framework/Presto Framework,0
Experience,0
Databricks,1
Apache Airflow,1
product,0
business,0
world,0
’,0
companies,0
client,0
global company,0
Fortune,0
Consumer,0
Goods,0
Producer,0
Retailer,0
products,0
countries,0
Intellias,0
mission,0
strategy,0
efforts,0
Digital,0
Eco,0
System,0
capabilities including,0
online shop,0
website,0
online,0
offline,0
customization,0
personalization,0
engagement,0
membership,0
digital product,0
services,0
Data,1
Platform,0
Team,0
native business cases,0
marketers,0
data scientists,1
goal,0
degree view,0
consumer,0
business teams,0
possible service,0
Continuous improvement,1
engineering excellence,0
core,0
business objectives,0
data engineering,1
team,0
building,0
operating data,0
pipelines,1
ingest,0
global markets,0
data engineers,1
machine learning,1
models,1
global data pool,1
years,0
experience building,0
data Pipelines,1
optimization,0
data quality,1
REST,1
APIs,1
API,1
Management,0
solutions,0
Proficient,0
understanding,0
Mercurial,0
On-Call support,0
week,0
building data,1
Treasure,0
DigDag,0
framework/Presto,0
Framework,0
Apache,1
Airflow,1
Chemix,0
a highly-motivated data science intern,1
our internal AI capabilities,1
battery materials discovery,0
Our AI platform,1
the core,0
data,1
and foremost,0
any application,0
AI,1
it,0
materials development,0
We,0
our entire R & D operation,0
battery materials datasets,1
unprecedented size and quality,0
a data science intern,1
your mission,0
our experimental battery data,1
machine learning models,1
statistical analyses,1
design,0
the pipelines,1
that,0
our data,0
actionable results,1
You,0
a fundamental contribution,0
the batteries,0
the electrification revolution,0
transportation,0
an early employee,0
a fast-moving startup,1
we,0
you,0
all kinds,0
technical problems,0
those,0
your core expertise,0
An ideal candidate,0
their knowledge,0
the ML and data software stack,1
pride,0
the quality,0
their work,0
a real impact,0
energy storage technologies,0
electric transportation,0
Responsibilities,0
Perform data analyses,1
data pipelines,1
trends,0
a wide variety,0
applications and types,0
battery data Discover,0
new ML models,1
statistical methods,1
software frameworks,1
libraries Contribute code,0
's internal codebase,0
Python,1
Interface,0
our machine learning scientists,1
data/software engineers,1
battery engineers,0
Implement best practices,0
code development,1
ML-ops,1
experiment tracking,0
etc Inform,0
the optimization,0
the R & D process,0
our data Requirements Bachelor,0
's degree,0
computer science,0
"the physical , chemical",0
biological sciences or engineering,0
some work experience,0
data science,1
the physical sciences,0
PhD,0
progress Experience,0
core data science and statistics concepts,1
Experience,0
the python data science stack,1
pandas,1
sklearn,1
scipy Experience,1
the fundamentals,0
data science and software ops,1
git,1
CI/CD Clear communication,1
good people skills,0
Strong organization and ability,0
parallel projects,0
Nice,0
Previous battery data experience Familiarity,0
experimental chemistry/materials science Benefits Stock Option Plan Health Care Plan,0
Medical,0
Dental & Vision,0
Retirement Plan,0
401k,0
Time Off,0
Vacation,0
Sick &,0
Public Holidays,0
Leave,0
Maternity,0
Paternity,0
highly-motivated data science,1
intern,0
capabilities,0
battery materials,0
discovery,0
platform,0
core,0
foremost,0
application,0
R,1
D,0
operation,0
datasets,1
unprecedented size,0
quality,0
mission,0
experimental battery data,1
machine learning,1
models,1
pipelines,1
fundamental contribution,0
batteries,0
power,0
electrification revolution,0
early employee,0
fast-moving startup,1
kinds,0
core expertise,0
ideal candidate,0
knowledge,0
ML,1
data software,1
stack,0
work,0
real impact,0
energy storage,0
technologies,0
Perform,0
data analyses,1
wide variety,0
applications,0
types,0
battery data,0
Discover,0
libraries,0
Contribute,0
code,0
internal codebase,0
scientists,0
Implement,0
practices,0
Inform,0
optimization,0
process,0
Requirements,0
Bachelor,0
degree,0
chemical,0
biological sciences,0
engineering,0
work experience,0
physical sciences,0
core data,1
science,0
statistics concepts,0
python data,1
science stack,0
fundamentals,0
software ops,1
CI/CD,1
Clear,0
communication,1
Strong organization,0
ability,0
Previous battery data,0
experience,0
Familiarity,0
experimental chemistry/materials science,0
Benefits,0
Stock,0
Option,0
Plan,0
Health,0
Care,0
Dental,0
Vision,0
Retirement,0
Time,0
Off,0
Sick,0
Public,0
JOB PURPOSE,0
Manage,0
the Data Science practice,1
ADNOC Distribution,0
Applying statistics,1
machine learning,1
programming,1
data modeling,1
simulation,0
mathematics,1
patterns,1
opportunities,0
pose business questions,0
valuable discoveries,0
better business decision,0
KEY ACCOUNTABILITIES,0
Job Specific Accountabilities Data Science,1
Analytics  Work,1
stakeholders,1
the organization,0
company data,1
business solutions,0
 Mine,0
analyze data,1
company,0
optimization and improvement,0
product development,1
marketing techniques,0
business strategies,0
 Data mining,1
state-of-the-art methods,0
the effectiveness and accuracy,0
new data sources and data gathering techniques,1
 Research,0
statistical learning models,1
data analysis  Develop custom data models and,1
algorithms,1
data sets,1
 Processing,0
cleansing,1
the integrity,0
data,1
analysis  Use predictive modelling,1
customer experiences,0
revenue generation,0
ad targeting,0
other business outcomes,0
 Build algorithms and design experiments,0
manage,0
interrogate,0
tailored reports,0
colleagues,0
customers,0
the wider organisation  Use machine learning tools,1
statistical techniques,1
solutions,0
problems,0
Test data mining models,0
the most appropriate ones,0
use,0
a project  Develop company A/B,0
framework and test model quality,1
 Coordinate,0
different functional teams,0
models and monitor outcomes,1
 Develop processes and tools,0
model performance and data accuracy,1
QUALIFICATIONS,0
EXPERIENCE,0
KNOWLEDGE & SKILLS,0
Minimum Qualification  Bachelor ’,0
Degree,0
Computer Science,0
Statistics,1
Applied Math,0
related field Minimum Experience & Knowledge &,0
Skills,0
7+ years,0
’ practical experience,0
SAS,1
ETL,1
data processing,1
database programming and data analytics,1
Extensive background,0
data mining,1
statistical analysis  Relevant experience,1
O &,0
G Retail,0
an advantage  Able,0
various data structures,1
common methods,0
data transformation  Excellent pattern recognition,0
predictive modeling skills,1
Experience,0
Excel,1
PowerPoint,1
Tableau,1
Spotfire,1
SQL,1
languages,0
Java/Python,1
Comfort,0
"a dynamic , research-oriented group",0
several,0
concurrent projects,0
machine,0
techniques and algorithms,1
k-NN,1
Naive Bayes,1
SVM,1
Decision Forests,1
etc,0
Professional Certifications  Relevant certifications and trainings,0
Data Sciences,1
AI/ML,1
Oracle,1
Microsoft,1
IBM,0
Google etc,0
12124,0
JOB,0
PURPOSE,0
Data,1
Science,0
practice,0
ADNOC,0
Distribution,0
Applying,0
statistics,1
valuable discoveries leading,0
business decision,0
ACCOUNTABILITIES,0
Job,0
Specific,0
Accountabilities,0
Analytics,1
,0
Work,0
organization,0
Mine,0
optimization,0
improvement,0
mining using,1
effectiveness,0
accuracy,0
new data sources,1
data gathering,1
techniques,0
Research,0
data analysis,1
Develop,0
custom data,1
models,1
Processing,0
integrity,0
analysis ,1
Use,0
predictive modelling,1
Build,0
design experiments,0
organisation ,0
tools,0
Test,0
appropriate ones,0
project,0
A/B testing,1
framework,0
test model,1
quality,0
Coordinate,0
functional teams,0
monitor outcomes,0
processes,0
model performance,1
data accuracy,1
KNOWLEDGE,0
SKILLS,0
Qualification,0
Bachelor,0
’,0
Computer,0
Applied,0
Math,0
field,0
Minimum,0
Knowledge,0
years,0
practical experience,0
database programming,1
data analytics,1
statistical analysis,1
Relevant,0
experience,0
O,0
G,0
Retail,0
advantage ,0
Able,0
data transformation,1
Excellent,0
pattern recognition,1
Comfort working,0
research-oriented group,0
Naive,0
Bayes,1
Decision,0
Forests,0
Certifications,0
certifications,0
trainings,0
Google,1
Description Dark Light,0
BI & data experts,1
we,0
a Data Engineer,1
a scale-up,0
Antwerp,0
Modern applications,0
all,0
data,1
it,0
data pipelines,1
databases,1
data storage or data processing engines,1
you,0
your way,0
the principles,0
each,0
Tasks,0
Performance,0
your middle name,0
You,0
test,0
troubleshoot,0
debug,1
document data-driven applications,1
a scalable data processing engine and data pipeline,1
the latest and greatest technologies,0
the domain,0
Technologies,0
Python,1
Dask,1
Pandas,1
Parquet,1
Papermill,1
’ t sound,0
a clear understanding,0
a scalable application,0
the complexities,0
them,0
a larger,0
We,0
a strong product,0
a multidisciplinary team,1
the best practices,0
development,0
s,0
different and,0
innovative technologies,0
Every two weeks,0
our meetups,0
the platform,0
share,0
your knowledge and technology expertise,0
your team members,0
Requirements REQUIREMENTS,0
a skilled engineer,0
a deep knowledge,0
Python and data engineering tooling,1
a data processing engine,1
Spark,1
Hadoop,1
Knowledge,0
distributed technologies,1
one,0
the major cloud providers,1
AWS,1
loads,0
tools,0
languages and libraries,0
which,0
Numpy,1
Jupyter,1
Parquet etc,1
the best tools and,0
libraries,0
our set,0
yourself,0
just,0
a data engineer,1
an advantage,0
us,0
the strength,0
versatile engineers,0
Other technologies,0
our stack,0
Serverless Framework,1
React,1
Cloudformation,1
Docker,1
a few,0
Experience,0
Scrum,1
Benefits,0
part,0
an ambitious organisation,0
an enthusiastic team,0
a mindset,0
an incredible pace,0
your mark,0
Description,0
Dark,0
Light,0
BI,1
data experts,1
Data,1
Engineer,0
scale-up,0
data storage,1
data processing,1
engines,0
way,0
principles,0
middle name,0
data-driven applications,1
scalable data processing,1
engine,0
data pipeline,1
technologies,0
domain,0
’,0
t sound,0
clear understanding,0
scalable application,0
complexities,0
strong product,0
multidisciplinary team,1
practices,0
weeks,0
meetups,0
platform,0
knowledge,0
technology expertise,0
team members,0
Requirements,0
REQUIREMENTS,0
skilled engineer,0
deep knowledge,0
data engineering,1
tooling,0
major cloud providers,1
languages,0
set,0
data engineer,1
advantage,0
strength,0
Other technologies floating,0
stack,0
Serverless,1
Framework,0
ambitious organisation,0
enthusiastic team,0
mindset,0
incredible pace,0
mark,0
